country,city,population,id,avg-temp
Iraq,Kirkuk,418624,1466,72.08
Italy,Isola d'Elba,null,2072,57.61
Lithuania,Klaipeda,149086,608,46.15
Malaysia,Melaka,63854,86,81.55
New Caledonia,Noumea,94285,296,73.61
Venezuela-Bolivarian Republic of,Maracay,419052,1198,79.98
Croatia,Rijeka,128624,72,57.29
Australia,Denham,null,1218,71.84
Jordan,Aqaba,188160,591,75.58
Venezuela-Bolivarian Republic of,Tumeremo,null,2066,80.21
Spain,Aviles,null,2886,56.26
India,Chandigarh,970602,526,74.23
Saudi Arabia,Makkah,1534731,700,88.58
Spain,Castellon de la Plana/Castello de la Plana,null,1762,64.06
Australia,Ben Lomond,null,1803,52.72
Türkiye,Ankara,null,48,53.24
United Kingdom of Great Britain and Northern Ireland,Truro,null,1911,51.54
Venezuela-Bolivarian Republic of,Guiria,null,2057,80.70
Japan,Fukuoka,1612392,185,63.00
Finland,Kuopio,120210,171,37.55
United States of America,Atlantic City-New Jersey,null,718,55.48
Ghana,Axim,null,2968,80.16
Australia,Townsville,196800,321,76.45
Australia,Wonthaggi,null,510,57.73
Colombia,Santa Marta,479853,886,82.68
Russian Federation,Dudinka,null,969,13.89
Italy,Udine,null,1953,55.53
Lithuania,Vilnius,565869,204,44.38
Russian Federation,Samara,1170485,1005,41.11
Norway,Trondheim,178021,907,41.79
Lao People's Democratic Republic,Luangphrabang,null,644,78.04
Greece,Kerkyra,null,2283,62.13
Bosnia and Herzegovina,Tuzla,131318,15,52.60
Myanmar,Coco-Island,null,2138,81.18
China,Shenyang,5303053,352,47.17
Australia,Innisfail,null,417,75.24
Australia,Inverell,null,418,60.28
Comoros,Moroni,30365,311,77.55
United States of America,Key West-Florida,null,777,77.78
Colombia,Providencia,null,881,82.04
Japan,Sendai,1096704,182,54.71
Russian Federation,Ordzhonikedzevskaja,null,1036,50.72
Australia,Darwin,82030,322,82.01
Australia,Griffith,null,410,62.97
Morocco,Marrakech,null,180,69.12
United States of America,Missoula-Montana,null,2007,45.60
Germany,Berlin,3644826,59,49.32
Viet Nam,Nha Trang,null,3027,81.40
Venezuela-Bolivarian Republic of,Maturin,571276,2060,80.95
Egypt,Asswan,null,1272,79.44
Morocco,Tanger,null,3521,65.01
Egypt,Sharm El-Sheikh,null,1269,78.67
Brazil,Recife,1537704,1078,77.89
Russian Federation,Irkutsk,601993,662,33.15
Suriname,Sipaliwini,null,2088,78.53
United States of America,Birmingham-Alabama,197575,723,63.22
Venezuela-Bolivarian Republic of,Coro,199603,1196,84.29
United Kingdom of Great Britain and Northern Ireland,Plymouth,234982,1906,51.88
Russian Federation,Birobidzan,null,1047,31.95
Germany,Hamburg,1841179,55,48.18
Ghana,Yendi,null,1385,82.75
Viet Nam,Hanoi,null,308,76.22
Panama,Anton,null,1244,81.77
China,Liuzhou,1220392,1844,69.60
Colombia,Armenia,275641,868,71.69
Ukraine,Simferopol,356771,2938,52.66
Russian Federation,Tver',null,984,39.44
Egypt,Cairo,9539673,248,72.08
Eswatini,Mbabane,null,912,61.67
Mexico,Cuernavaca,1051220,1281,69.40
Guyana,Timehri,null,1497,79.20
Sri Lanka,Batticaloa,null,339,81.98
Romania,Botosani,113107,2090,49.81
Zimbabwe,Kariba,null,966,76.05
Canada,Medicine Hat-Alberta,null,626,42.18
Australia,Dalby,null,392,66.91
Australia,Armidale,null,358,55.67
Australia,Bridgetown,null,372,59.27
Australia,Mandurah,null,446,63.90
Burkina Faso,Gaoua,null,1531,81.82
Iraq,Nasiriya,null,1468,77.13
Malaysia,Kuching,null,80,81.26
Russian Federation,Nal'cik,null,1034,49.49
United States of America,Roanoke-Virginia,100011,817,55.89
Netherlands,De Bilt,null,144,49.42
Chile,Puerto Montt,246497,104,51.10
Benin,Ouidah,null,2213,80.43
Australia,Kurnell,null,515,63.75
Israel,Haifa,284526,1931,67.18
Mexico,Cozumel,null,1280,79.70
Senegal,Kaolack,410577,2920,84.86
Iran (Islamic Republic of),Mashhad,3001184,938,56.74
Russian Federation,Murmansk,303754,967,32.28
Uganda,Masindi,null,1939,72.07
Ghana,Kumasi,1730249,922,80.06
Iran (Islamic Republic of),Ghom,null,1448,64.05
Norway,Bergen,265857,22,46.11
Italy,Milan (MILANO),null,603,55.38
Zimbabwe,Plumtree,null,960,67.98
Türkiye,Istanbul,null,47,57.88
Russian Federation,Petropavlovsk-Kamca,null,665,34.52
Türkiye,Erzurum,null,53,42.34
Senegal,Kolda,null,2922,83.11
Cameroon,Douala,1907479,1513,80.49
United States of America,Flagstaff-Arizona,null,757,46.22
Ireland,Cork,124391,328,49.84
Russian Federation,Joskar-Ola,null,985,37.70
Maldives,Gan -Addu Atoll,null,589,81.83
Mongolia,ZamiinUud,null,1158,40.11
Spain,Huesca,null,1772,57.51
United States of America,Cincinnati-Ohio,308935,737,54.24
Nepal,Bhairahwa,null,2959,76.63
Mongolia,Dalanzadgad,null,1155,41.93
Libya (State of),Tripoli,null,1179,68.89
Guyana,Kamarang,null,1492,75.38
Iran (Islamic Republic of),Ardabil,529374,1444,48.28
Ukraine,Kherson,324888,2940,52.02
Colombia,Palmira,302642,1646,75.44
Australia,Ballarat,111361,362,53.93
Mozambique,Lichinga,null,119,65.80
Slovenia,Maribor,111142,1923,50.82
Zimbabwe,Rusape,null,959,63.73
Ireland,Dublin,544107,188,49.82
Australia,Bairnsdale,null,361,57.58
Antigua and Barbuda,St. John's Antigua,null,151,80.11
Argentina,Buenos Aires,15567820,294,64.74
Argentina,Cordoba,1573230,855,63.86
Russian Federation,Palana,null,1046,26.60
Nigeria,Ilorin,532089,3506,80.43
Ireland,Kerry,null,1914,51.66
Suriname,Paramaribo,240924,1048,82.10
United States of America,Grand Island-Nebraska,null,1981,50.74
United Kingdom of Great Britain and Northern Ireland,Reading,218705,1907,51.03
Mexico,Saltillo,1080679,1296,64.76
Canada,Saint John NB-New Brunswick,null,641,41.02
Hungary,Bekescsaba,null,3010,51.67
United States of America,Tuscaloosa-Alabama,100618,2042,64.95
Slovenia,Portoroz,null,1925,55.70
Spain,Malaga,577932,1235,65.25
Viet Nam,Buon Me Thuot,null,3029,77.38
Uzbekistan,Samarkand,551746,116,57.01
Australia,Mornington Peninsula,null,458,58.06
Australia,Morawa,null,456,68.52
Madagascar,Antsirabe,245592,2997,63.50
Greece,Tripolis,null,2290,56.05
Colombia,Leticia,null,874,79.42
Estonia,Tallinn,437980,149,42.06
United States of America,Corpus Christi-Texas,317773,744,72.13
Russian Federation,Ivanovo,408952,983,38.58
Senegal,Matam,null,2925,86.75
United States of America,Knoxville-Tennessee,192648,778,57.74
Honduras,Tegucigalpa,996658,283,72.18
Spain,Jaen,112344,1773,62.67
United States of America,Tacoma-Washington,219205,2040,53.44
United Kingdom of Great Britain and Northern Ireland,Londonderry (Derry),null,1905,49.45
Romania,Arad,162984,2089,52.12
Australia,Norfolk Island,null,471,65.94
United Kingdom of Great Britain and Northern Ireland,Birmingham,1085810,28,49.53
Ghana,Tamale,223252,1384,83.47
United States of America,Joliet-Illinois,150372,1989,50.45
Saudi Arabia,Yanbu,null,1892,82.40
Botswana,Ghanzi,null,1546,70.60
Republic of Korea,Gangneung,228232,333,55.64
Ghana,Bolgatanga,null,2970,84.10
Mongolia,Zuunmod,null,1147,31.10
Poland,Krakow,777520,27,47.58
Maldives,Hanimaadhoo,null,2882,82.95
China,Taiyuan,2558382,549,50.21
Australia,Winton,null,509,76.90
Australia,Gympie,null,411,68.82
China,Jingzhou,1177150,1877,62.48
Italy,Agrigento,null,2069,63.59
United States of America,Duluth-Minnesota,null,749,39.56
United States of America,Albany-New York,null,712,48.22
Indonesia,Lombok,null,654,80.11
Spain,Palencia,null,1782,51.45
Sri Lanka,Nuwara Eliya,null,343,60.54
Canada,Kamloops-British Columbia,101603,617,47.95
Russian Federation,Aginskoe,null,1014,29.75
Spain,Marbella,147795,2187,64.58
China,Kunming,3035406,238,59.32
Myanmar,Kengtung,null,2145,73.84
United States of America,Youngstown-Ohio,null,847,48.99
Brazil,Campo Grande,774202,1064,73.98
Sweden,Gothenburg,null,1042,48.14
United States of America,Worcester-Massachusetts,205918,2046,47.77
Kenya,Nakuru,570614,518,63.85
United States of America,Minot-North Dakota,null,2006,41.98
Spain,Mao-Mahon,null,2901,63.02
Spain,Ourense,105119,1780,58.80
Russian Federation,Hakasskaja,null,1010,34.50
France,Bordeaux,249712,1050,55.90
United Kingdom of Great Britain and Northern Ireland,London,8135667,32,52.82
United States of America,North Platte-Nebraska,null,798,48.68
Russian Federation,Nar'jan-Mar,null,970,25.42
Japan,Tokyo,9733276,183,61.60
Myanmar,Meiktila,null,2147,81.13
Israel,Zefat,null,1935,62.52
Cambodia,Phnom Penh -Pochentong,null,348,82.73
Australia,Ross,null,1728,52.89
Germany,Magdeburg,238697,1351,48.78
Thailand,Phuket,358159,579,83.08
China,Beijing,19612368,237,53.74
Italy,Cagliari,150288,601,62.06
Hungary,Nyiregyhaza,116684,3013,50.55
United States of America,Waterloo-Iowa,null,2043,47.81
United States of America,Yuma-Arizona,null,848,75.90
Mali,Bamako,1810366,129,82.73
Myanmar,Mindat,null,2148,67.94
United States of America,Medford-Oregon,null,789,55.56
Türkiye,Adana,null,50,66.95
Bangladesh,Dhaka,8906035,1163,78.92
Australia,Moranbah,null,455,73.80
Australia,Narrabri,null,1316,66.06
Zimbabwe,Chipinge,null,964,66.14
Madagascar,Toamasina,326286,8,75.30
Bahamas,Nassau,266100,97,76.62
Mexico,Guadalajara,5436332,1206,70.19
Mongolia,Tsetserleg,null,1142,34.69
Spain,Girona,102650,1768,58.53
Brazil,Sao Paulo,105269,1083,68.33
Bosnia and Herzegovina,Banja Luka,195692,16,51.45
Australia,Karratha,null,423,79.83
Australia,Castlemaine,null,1663,56.65
Australia,Currie,null,1670,56.01
Viet Nam,Ca Mau,null,3030,83.03
Colombia,Buenaventura,258445,1642,79.10
Ethiopia,Mekele,null,167,66.21
Venezuela-Bolivarian Republic of,Cd. Bolivar,null,1202,83.30
Nepal,Dipayal,null,2103,73.20
United States of America,Hilo-Hawaii,null,1985,73.84
South Africa,Nelspruit,null,2988,67.07
Australia,Wangaratta,null,505,58.61
Brazil,Curitiba,1751907,1066,63.52
Jordan,Amman,4007526,215,63.27
Australia,George Town,null,1675,56.35
Australia,Norseman,null,1252,63.99
Australia,Orford,null,1714,54.89
Israel,Nazareth,null,1934,66.84
Viet Nam,Hai Phong,null,3024,75.55
Italy,Palermo,642653,605,64.86
Bhutan,Wangdi Phodrang,null,1274,67.63
Brazil,Macapa,369287,1071,80.60
Indonesia,Jakarta,10562088,310,83.08
Iran (Islamic Republic of),Bandarabbas,null,943,80.44
Burkina Faso,Boromo,null,1527,82.84
Nepal,Biratnagar,201125,2960,76.28
United States of America,Juneau-Alaska,null,775,43.48
Greece,Athens,null,177,63.37
Russian Federation,Habarovsk,null,663,35.92
United Kingdom of Great Britain and Northern Ireland,Liverpool,552267,1904,50.26
United States of America,Macon-Georgia,null,787,64.49
